"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 24 09:42:31 MSK 2026","Fri Jul 24 09:42:37 MSK 2026","6414","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [1] СНИЛС+ЕНП (ожидается 11000000/SUCCESS)",""
"passed","Fri Jul 24 09:43:23 MSK 2026","Fri Jul 24 09:43:29 MSK 2026","5133","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [11] СНИЛС+ЕНП+ИО (ожидается 11001100/ERROR_DUPLICATE_DOCUMENT)",""
"failed","Fri Jul 24 09:44:00 MSK 2026","Fri Jul 24 09:44:05 MSK 2026","5244","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [18] СНИЛС+ИО+ДУЛ (ожидается 10001111/SUCCESS)",""
"passed","Fri Jul 24 09:42:57 MSK 2026","Fri Jul 24 09:43:03 MSK 2026","5238","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [6] СНИЛС+ЕНП все совпали (ожидается 11111111/SUCCESS)",""
"passed","Fri Jul 24 09:43:13 MSK 2026","Fri Jul 24 09:43:18 MSK 2026","5064","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [9] СНИЛС+ЕНП+ДР (ожидается 11100000/ERROR_DUPLICATE_DOCUMENT)",""
"passed","Fri Jul 24 09:42:47 MSK 2026","Fri Jul 24 09:42:52 MSK 2026","5064","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [4] СНИЛС+ЕНП+ИО (ожидается 11001100/SUCCESS)",""
"passed","Fri Jul 24 09:43:08 MSK 2026","Fri Jul 24 09:43:13 MSK 2026","5357","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [8] СНИЛС+ЕНП (ожидается 11000000/ERROR_DUPLICATE_DOCUMENT)",""
"failed","Fri Jul 24 09:44:21 MSK 2026","Fri Jul 24 09:44:26 MSK 2026","5308","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [22] СНИЛС+ФИ+ДУЛ (ожидается 10011011/ERROR_DUPLICATE_DOCUMENT)",""
"failed","Fri Jul 24 09:44:16 MSK 2026","Fri Jul 24 09:44:21 MSK 2026","5178","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [21] СНИЛС+ДР+ДУЛ (ожидается 10100011/ERROR_DUPLICATE_DOCUMENT)",""
"passed","Fri Jul 24 09:42:52 MSK 2026","Fri Jul 24 09:42:57 MSK 2026","5098","","com.example.kafka.KafkaTest","","com.example.kafka.KafkaTest","testSendAndReceive","testSendAndReceive(TestData) [5] СНИЛС+ЕНП+ДУЛ (ожидается 11000011/SUCCESS)",""
